                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |   49822640 |   90706922 |   90733172 |   90731449 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600 |   93499600
  IPC                                |       0.53 |       0.97 |       0.97 |       0.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900
  Idle time (ns)                     |   15458147 |    7919756 |    8486110 |    8424482 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900 |   23374900
  Idle time (%)                      |      66.1% |      33.9% |      36.3% |      36.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8258298 |    5176015 |    5204368 |    5192330 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     526165 |     148450 |     121041 |     132056 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      5.99% |      2.79% |      2.27% |      2.48% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
